Actor_ID,Actor_Name,# times in DS
1870625,Dale Rivera,1
1870623,Michael Andrew Gorman,1
1870620,Lanny Lutz,1
1870616,Aidan Feore,1
1870615,Chris Petschler,1
1870614,Daryl Satcher,1
1870613,Sophia Hinshelwood,1
1870612,Jennifer Knox,1
1870611,James Fierro,1
1870610,James Farruggio,1
1870609,Andy Luther,1
1870608,Erik Hellman,1
1870607,Greg Beam,1
1868973,Ruairí Heading,1
1868961,Fernando Vigui,1
1868959,Louise Parker,2
1868954,Pat Mooney,1
1868937,Stacy Shane,1
1868936,Bethan Coomber,1
1868278,Gian Franco Tordi,1
1867551,Bob Mayer,2
1867406,Bina McLoughlin,1
1867405,Johnny Choil Mhaidhc,1
1867404,Máirtín Jaimsie,2
1867403,Sarah Cronin-Stanley,1
1867402,Sara Jane Scaife,1
1867401,Eamon Keane,1
1867400,Jenny Conroy,1
1867399,John Cowley,1
1866647,Brian Konowal,1
1866605,Shannon Barnett,1
1866063,Dean Smith,1
1866062,Lute Olson,1
1866060,Roy Williams,1
1866059,Denny Crum,1
1865993,Clem Haskins,1
1865991,Jim Boeheim,1
1865990,Rick Pitino,1
1865988,Bobby Cremins,1
1865952,Issey Miyake,1
1865949,Sonia Rykiel,1
1865910,Katie Jackson,1
1865909,Steve Carroll,1
1865893,Richard Bevan,1
1865888,Liliana Gane,1
1865852,Patrick Osborne,1
1865850,Frances Jeater,1
1865843,Nell Barlow,1
1865838,Darren Clarke,1
1865827,Julia Lewis,1
1865795,Michael-David Aragon,1
1865789,Jaime Margarida,1
1865786,JJ Raschel,1
1865065,Tom Knickerbocker,1
1864991,Chloe Little,1
1864990,Janelle Ortiz,1
1864853,Jonathan Everett Lewis,1
1864616,Towanna King,1
1864553,John Hill,1
1864453,Alexander Prasanth,1
1863259,Jandre le Roux,1
1863258,Krista Schaeffer,1
1863257,Drew B. Waters,1
1863256,Christoper Vasquez,1
1863255,Brian William Price,1
1863254,Perry Yee,1
1863253,Remi Adeleke,1
1863252,Simon Harrison,1
1863251,Poppy Carter,1
1863250,Mia Maria,1
1863249,Aiyaz Ahmed,1
1863248,Leighton Sharpe,1
1863247,Nicholas Khan,1
1863246,Wolfgang Young,1
1863245,Daniel Iturriaga,1
1863244,Samuel Parker,1
1863243,Ben Webb,1
1862881,Luca Torraca,1
1862880,Anna Lazzeri,1
1862879,Alessandro Milzoni,1
1862878,Gianluca Di Lauro,1
1862877,Alessandro Betti,1
1862448,Deborah Shore,1
1862447,Oscar Hidalgo,1
1862446,Chuy,1
1862445,Anthony E. Caglia,1
1862444,Tommy Ballard,1
1862443,Robert Arenas,1
1862442,John Anderson,1
1861904,عرفان برزین,1
1861490,Brenda Palmer,1
1861471,Chris Weir,1
1860582,Noah Gumbert,1
1860437,Brendan Hutt,1
1859551,Andy Kidd,1
1859373,Lucas Ford,1
1859368,Julie Remala,1
1859363,Florence Regina,1
1859072,Gena Vazquez,1
1859071,Lauren Stewart,1
1859070,Nicki Sixteen,1
1859067,Nancy Sinclair,1
1859057,Jean Sawin,1
1859053,Kristine Perchetti,1
1859051,Neill,1
1859049,Robin Nance,1
1859046,Oriah Miller,1
1859045,Heidi Merrick,1
1859042,TJ Martin,1
1859038,Judy Carmen Gonzalez,1
1859037,Kira Coplin,1
1859015,Gertrude Wong,1
1859010,Rory Byrne,1
1859006,Jacqueline Thomas,1
1859004,Nancy Monsarat,1
1859002,Nnenna Freelon,1
1858992,Caryn Greenhut,1
1858987,Kate Asner,1
1858976,Jamie Gutterman,1
1858975,Lisa Anne Hillman,1
1858972,Juliandra Gillen,1
1858970,Regiane Gorski,1
1858967,Liz Tannebaum,1
1858966,Regan Rohde,1
1858965,Ashley Quirico,1
1858962,Sally Meyers Kovler,1
1858960,Marla Martensen,1
1858954,Harmony Rousseau,1
1858952,Kristina Martin,1
1858939,Connell,1
1858934,Katie Kneeland,1
1858933,Chris Rolfes,1
1858930,Dana Waters,1
1858928,Jeanne Marie Rice,1
1858927,Crystal McKinney,1
1858925,Perry Cavitt,1
1858924,Brian Callaway,1
1858923,Joe Petcka,1
1858286,Olga Dolinina,1
1858284,Marietta Tsigal-Polishchuk,1
1858282,Valentina Montanari,1
1857463,Roger Wright,1
1857462,Gito Santana,1
1857461,Tracy Redington,1
1857460,Kamay Lau,1
1857459,Stina Richardson,1
1857458,Alex Georgijev,1
1857457,Roy Garcia,1
1857456,Shaun Davis,1
1857455,Patrick Nicholls,1
1857454,J.D. Dawodu,1
1857453,C. Keith Martin,1
1857452,Leo Williams,1
1857451,Robert Alexander,1
1857450,Robert Clapperton,1
1857449,Omar Williams,1
1857446,Stanley Kowalski,1
1857445,David Garvey,1
1857444,Leon Dekker,1
1857443,Scott Woods,1
1857442,Nathan Hamlett,1
1857441,Dane Messam,1
1857440,Sarah Carrington,1
1857439,Sibyl Buck,1
1857438,Fred Williams,1
1857437,Laura De Palma,1
1857436,Yui,1
1857435,Eddie Ellwood,1
1857434,Ian Beckett,1
1857433,Tyrone Tyrell,1
1857432,Kaleem Janjua,1
1857431,Aron Paramor,1
1857430,Vladimir McCrary,1
1857429,Paul Priestley,1
1857427,Sophia Goth,1
1857425,Natasha Brice,1
1857424,Rachel Willis,1
1857423,Jerry Ezekiel,1
1857422,Mark Seaton,1
1857418,Colin Brooks,1
1857416,Kevin Molloy,1
1857415,Jerome St. John Blake,1
1857414,Justin Lee Burrows,1
1857413,Said Talidi,1
1857412,Roberto Bryce,1
1857411,John Hughes,1
1857410,George Khan,1
1856876,Anton Palmer,1
1856875,Golda Rosheuvel,1
1856816,Eric Storch,1
1856815,David Milton-Jones,1
1856814,Nicole Berger,1
1856813,P.C. Frieberg,1
1856812,Kevin Patterson,1
1856811,Kevin Patterson,1
1856810,Andrea Litt,1
1856727,Ira F. Grubman,1
1856726,Lawrence Gabriel Jr.,1
1856377,Oh Dae-Hwan,1
1855840,Michael Duffield,1
1855616,Sonny Corbo,1
1855615,Danny Corbo,1
1855403,Alvin Crawford,1
1855401,Judy Wong,1
1855398,Dave Leitch,1
1855240,Jacqueline Williams,1
1855204,Kevin Lee,1
1855203,Lorie Kellogg,1
1855202,Sandra Gumuzzio,1
1854853,Charlie Bouguenon,1
1854670,L.A. Rothman,1
1854669,Charles Gemmill,1
1854668,Paxton Culpepper,2
1854667,Jeff Joseph,1
1854665,Fritz Mashimo,1
1854664,Michael Francis Kelly,1
1854663,Richard Hoyt-Miller,1
1854662,Gordy Owens,1
1854493,Michelle Lee,1
1854111,Minti Gorne,1
1853835,Justin Ebenhack,1
1853582,Maurizio Di Carmine,1
1853286,M.J. Kang,1
1853284,Rob Gfroerer,1
1853282,Theo Caldwell,1
1853280,Ted Kozma,1
1853279,Gustavo Duque,1
1853272,Jake Beecham,1
1852803,Gale Mayron,1
1852511,Calidore Robinson,1
1852176,Dinah Beamish,1
1852175,Sonia Slaney,1
1852166,Ian Francis,1
1852165,Sharon Munro,1
1852164,Renee Eyre,1
1852163,Liz Ranken,1
1852162,Andrew Lee Bolton,1
1852161,Trevor Skingle,1
1852159,Kristina Overton,1
1852158,Kim Dare,1
1852157,Robb Dennis,1
1852156,Jonathan Stables,1
1852155,Giles de Montigny,1
1852153,Thomas Duncan,1
1852152,John Henry Duncan,1
1852150,Barry John Clarke,1
1852149,Andy Jeffrey,1
1852148,Mark Davis,1
1852145,Andrew Charleson,1
1851908,Kate Temple,1
1850925,Bill McCallum,1
1850923,Miles Strommen,1
1850922,Elizabeth Herron,1
1850917,Kimora Collins,1
1850753,Yuriy Vaksman,1
1850297,Thomas Harrison,1
1850296,Emily Tasker,1
1850295,Cory English,1
1850294,Elliot Joseph,1
1850293,Annie Young,1
1850291,Daniel Wolfe,1
1850290,Chris Royds,1
1850223,Mark Zupan,1
1849976,James D. Nelson,1
1849975,Rose Bachtel,1
1849473,Andrew Hawtrey,1
1849472,Toussaint Morrison,1
1849471,James Robert Miller,1
1849470,Sandy Oian-Thomas,1
1848515,Nanase Iwai,1
1847585,Tahitian Dance Group,1
1847584,Fred Hugh,1
1847583,Hurtado de Cordoba Ballet,1
1847262,Mike Kassak,1
1847202,Vincent Glo,1
1847201,Colin Prince,1
1847200,Didier Azoulay,1
1846971,Calypso Valois,1
1846242,Joe Kaplan,1
1846216,Ann Browning,1
1846215,Morris Zuckerman,1
1846214,Mary Lou Simo,1
1846213,Bill Rutherford,1
1846212,Connie Hicks,1
1846211,Peter Lundquist,1
1846206,Jill Beach,1
1846205,Marshall B. Gage,1
1846202,Michael Clay,1
1846200,Mike DeRienzo,1
1846199,Fritz Bronner,1
1846198,Cynthia Caquelin,1
1846137,Roger McKeen,1
1846136,Emily Weedon,1
1846135,Michael Louis Johnson,1
1845453,Amanda Smith,1
1845370,Jesse Hernandez,2
1845219,John Ross,1
1845156,Lionel Decker,1
1844707,Julianna Rose,2
1844478,Baby,1
1844319,Joseph Billingiere,1
1844300,Adam Bocknek,1
1844011,Lucianna De Falco,1
1842315,Anne Crestey,1
1842309,Elian Planes,1
1842301,Mathilde Dromard,1
1842271,Maxime Flourac,1
1842187,Robert Briscoe Evans,1
1840882,Mario Arvizu,1
1840852,Jane Gilchrist,1
1840452,Tom McElroy,1
1840222,Gabriel Cohen,1
1840221,Vilma Frantová,1
1840220,Hana Pindurová,1
1840219,Adira B. Cole Abbett,1
1840218,Viktorie Jenicková,1
1840217,Viktoria Zakharyanova,1
1840216,Theo Preston,1
1839463,Arthur RedCloud,1
1838565,Hans Georg Struhar,1
1838468,C.C. Smiff,2
1838439,Eric Carlson,1
1838424,Vaibhav Mathur,1
1838413,Patricia DiZebba,1
1838409,Susan Lynskey,1
1838407,David E. Goodman,2
1838405,Michael Stone Forrest,2
1838403,Lisa Marie Sheldon,1
1838397,Rachel Cora Wood,1
1838353,Billy Devlin,3
1838340,Michael Manuel,1
1838019,Adriana Alveario,1
1837991,Christine Page,1
1837452,Randy Tat,1
1837451,Bernard Madrid,1
1837450,Jo Anna Keane,1
1837448,Danna Kiesel,1
1837447,Pia Boyer,1
1837446,William S. Graves,1
1837444,Daniel Tyler,1
1837442,Norbert M. Murray,1
1837441,Tee Dennard,1
1837437,Angelo De Meo,1
1837435,Bill Couch Jr.,1
1837434,Judy Ashton,1
1837433,Colby Smith,1
1837432,Dottie Catching,1
1837431,Renee McDonell,1
1837430,Jill Fosse,1
1837429,Robert Boler,1
1837428,Linda Shusett,1
1837427,Lisa Marie,1
1837418,Andrew Anderson,1
1836956,Shawn Rougeron,1
1836952,Kara Gibson,1
1836946,Alyssa Perper,1
1836945,Caleb West,1
1836944,Butch Von Dreaux,1
1836943,W.F. Bell,1
1836942,Jermain Hollman,1
1836941,Esperanza America,1
1836536,Ilka Schirner,1
1836534,Osier,1
1836533,Sharon Holland,1
1836532,Tim Murphy,1
1836531,Jason Moore,1
1836530,Janice Small,1
1836529,Sid Hoare,2
1836528,Takahito Toinaga,1
1836527,Akimori Nakagawa,1
1836526,Masaru Kudo,1
1836525,Noriaki Iwaya,1
1836524,Takeshi Nara,1
1836523,Iliana Flade,1
1836522,Donna Combe,1
1836521,Troy Jackson,1
1836219,Jerica Barnes,1
1835934,Shannon Frank,1
1835928,Madeleine Ignon,1
1835927,Shannon Kies,1
1835926,Axel Ovregaard,1
1835923,Lois Gerace,1
1835922,Chloe Black,1
